timestamps,Eng_ctMisfCatThd,Eng_ctMisfEmiThd,Eng_tqAlt,Eng_bMisfFirstIntlCyc
0.0,0,140,0.0,b'TRUE'
0.014314624414282662,0,140,0.0,b'TRUE'
0.030027114498352603,0,140,0.0,b'TRUE'
0.04485268981215995,0,140,0.0,b'TRUE'
0.05730449323687026,0,140,0.0,b'TRUE'
0.07101517568798954,0,140,0.0,b'TRUE'
0.08347097872820086,0,140,0.0,b'TRUE'
0.09436793156896783,0,140,0.0,b'TRUE'
0.10631578342190551,0,140,0.0,b'TRUE'
0.11756070282422115,0,140,0.0,b'TRUE'
0.1278107178331993,0,140,0.0,b'TRUE'
0.1384526951760563,0,140,0.0,b'TRUE'
0.1492956532053995,0,140,0.0,b'TRUE'
0.15928869290883085,0,140,0.0,b'TRUE'
0.16928173261248958,0,140,0.0,b'TRUE'
0.17927777202748985,0,140,0.0,b'TRUE'
0.18841989350130461,0,140,0.0,b'TRUE'
0.19801897106344768,0,140,0.0,b'TRUE'
0.2075660536218038,0,140,0.0,b'TRUE'
0.21631221314623872,0,140,0.0,b'TRUE'
0.22535934374832323,0,140,0.0,b'TRUE'
0.2344974656064096,0,140,0.0,b'TRUE'
0.24288165991470123,0,140,0.0,b'TRUE'
0.25151583020056023,0,140,0.0,b'TRUE'
0.2602999860737327,0,140,0.0,b'TRUE'
0.26828321891275664,0,140,0.0,b'TRUE'
0.27657842177245584,0,140,0.0,b'TRUE'
0.28526258725446496,0,140,0.0,b'TRUE'
0.29289485381991653,0,140,0.0,b'TRUE'
0.30092508214283953,0,140,0.0,b'TRUE'
0.3092682803903699,0,140,0.0,b'TRUE'
0.3168075558921828,0,140,0.0,b'TRUE'
0.3245898080447205,0,140,0.0,b'TRUE'
0.3326210362715756,0,140,0.0,b'TRUE'
0.3402533028372545,0,140,0.0,b'TRUE'
0.34773258410427843,0,140,0.0,b'TRUE'
0.3555248352959097,0,140,0.0,b'TRUE'
0.3628561307837117,0,140,0.0,b'TRUE'
0.3703324123391667,0,140,0.0,b'TRUE'
0.37821565478679986,0,140,0.0,b'TRUE'
0.38524697910088435,0,140,0.0,b'TRUE'
0.392585273916211,0,140,0.0,b'TRUE'
0.40026553586972113,0,140,0.0,b'TRUE'
0.4072998598956019,0,140,0.0,b'TRUE'
0.41448016989261305,0,140,0.0,b'TRUE'
0.42221142694552327,0,140,0.0,b'TRUE'
0.42924075145197094,0,140,0.0,b'TRUE'
0.4362720757660554,0,140,0.0,b'TRUE'
0.44350038115089774,0,140,0.0,b'TRUE'
0.45047671074985374,0,140,0.0,b'TRUE'
0.4575070351600061,0,140,0.0,b'TRUE'
0.4648363308401713,0,140,0.0,b'TRUE'
0.4717666648589329,0,140,0.0,b'TRUE'
0.47874399436159365,0,140,0.0,b'TRUE'
0.48622427553277703,0,140,0.0,b'TRUE'
0.492802643374489,0,140,0.0,b'TRUE'
0.49972897777752223,0,140,0.0,b'TRUE'
0.5069172870059901,0,140,0.0,b'TRUE'
0.5136966355341883,0,140,0.0,b'TRUE'
0.5205739746456857,0,140,0.0,b'TRUE'
0.5276542942515334,0,140,0.0,b'TRUE'
0.5343896470074014,0,140,0.0,b'TRUE'
0.5412129913077024,0,140,0.0,b'TRUE'
0.5483413063013813,0,140,0.0,b'TRUE'
0.5552796395515998,0,140,0.0,b'TRUE'
0.5619050028769834,0,140,0.0,b'TRUE'
0.5689803229633981,0,140,0.0,b'TRUE'
0.5756116857126017,0,140,0.0,b'TRUE'
0.5823880345287762,0,140,0.0,b'TRUE'
0.5894633546149635,0,140,0.0,b'TRUE'
0.5962457028549579,0,140,0.0,b'TRUE'
0.6029220612799691,0,140,0.0,b'TRUE'
0.6098963910710609,0,140,0.0,b'TRUE'
0.6166277442114279,0,140,0.0,b'TRUE'
0.6233550977360665,0,140,0.0,b'TRUE'
0.6303824224344226,0,140,0.0,b'TRUE'
0.6372647610655804,0,140,0.0,b'TRUE'
0.6438951239106245,0,140,0.0,b'TRUE'
0.6509194488976391,0,140,0.0,b'TRUE'
0.6576018067460154,0,140,0.0,b'TRUE'
0.664379155466122,0,140,0.0,b'TRUE'
0.671457475264333,0,140,0.0,b'TRUE'
0.678285819084067,0,140,0.0,b'TRUE'
0.6852161531030561,0,140,0.0,b'TRUE'
0.6922434778014122,0,140,0.0,b'TRUE'
0.6992238070158692,0,140,0.0,b'TRUE'
0.7062011365189846,0,140,0.0,b'TRUE'
0.7133794467081316,0,140,0.0,b'TRUE'
0.7203587760188839,0,140,0.0,b'TRUE'
0.7274400955284364,0,140,0.0,b'TRUE'
0.7347203959170656,0,140,0.0,b'TRUE'
0.7415507395446639,0,140,0.0,b'TRUE'
0.7484750741398329,0,140,0.0,b'TRUE'
0.7557163782757925,0,140,0.0,b'TRUE'
0.7627467026859449,0,140,0.0,b'TRUE'
0.7697710276727321,0,140,0.0,b'TRUE'
0.7772033134558569,0,140,0.0,b'TRUE'
0.7841866423821102,0,140,0.0,b'TRUE'
0.7912199665040589,0,140,0.0,b'TRUE'
0.7986042568993525,0,140,0.0,b'TRUE'
0.8056865763128371,0,140,0.0,b'TRUE'
0.8128148913067434,0,140,0.0,b'TRUE'
0.82029417257354,0,140,0.0,b'TRUE'
0.827437486125973,0,140,0.0,b'TRUE'
0.8346227956426446,0,140,0.0,b'TRUE'
0.842203067204764,0,140,0.0,b'TRUE'
0.8494303726859016,0,140,0.0,b'TRUE'
0.8567116729780082,0,140,0.0,b'TRUE'
0.8641919541489642,0,140,0.0,b'TRUE'
0.8714722545373661,0,140,0.0,b'TRUE'
0.8787505551179038,0,140,0.0,b'TRUE'
0.8863808218757185,0,140,0.0,b'TRUE'
0.8937141171716121,0,140,0.0,b'TRUE'
0.9011903987266123,0,140,0.0,b'TRUE'
0.90872367480506,0,140,0.0,b'TRUE'
0.9162089554954491,0,140,0.0,b'TRUE'
0.923336270585196,0,140,0.0,b'TRUE'
0.9311665181255648,0,140,0.0,b'TRUE'
