timestamps,Air_pInMnfMdlFilMaxBnk1,Air_pInMnfMdlFilMinBnk1,Air_pInMnfRawFilMaxBnk1,Air_pInMnfRawFilMinBnk1,Disp_dstTot,Eng_dMisfRoadThd,Eng_rPurgeTnk,Eng_vMisfWhlVld,Exh_bPfilRgnStge2,Veh_ctHiDiagEngOff,Veh_ctLoDiagEngOff,Veh_ctLoIniDiagEngOff,Veh_v,Air_bChk_pInMnfBnk1,Eng_bMisfRoad,Eng_bStrtEndCyc,Exh_bOxiCat1Bnk1AdpFin
0.5786927670997102,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.5989232205902226,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.6186537370085716,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.6387342093657935,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.6586647006188286,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.6787451729906024,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.6987256579304812,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.7187071427615592,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.7386346343846526,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.7587201061251108,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.778650597363594,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.7988330569060054,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.8186205661477288,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.838702038381598,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.8586305298813386,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.8787090024998179,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.8987374814169016,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,32,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.9198278266558191,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.9369446720666019,0.0,0.0,0.0,0.0,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.9603447265835712,0.0,0.0,950.15625,950.15625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
0.9802762176987017,0.0,0.0,950.15625,950.15625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.0004576773644658,0.0,0.0,950.15625,950.15625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.020340174640296,0.0,0.0,950.15625,950.15625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.0403246591013158,0.0,0.0,950.15625,950.15625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.0603531380038476,0.0,0.0,946.953125,946.953125,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.0804466087429319,0.0,0.0,944.84375,944.84375,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.1003761001047678,0.0,0.0,942.734375,942.734375,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.1204145777592203,0.0,0.0,943.828125,943.828125,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.140399062205688,0.0,0.0,949.0625,949.0625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.1604295408760663,0.0,0.0,949.0625,949.0625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.180358032361255,0.0,0.0,929.0625,929.0625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.2019983083882835,0.0,0.0,911.171875,911.171875,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.2203809944767272,1831.5625,683.359375,901.71875,901.71875,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.2404154726245906,1831.5625,683.359375,900.625,900.625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.2603939578257268,1831.5625,683.359375,906.953125,906.953125,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.2803844415175263,1831.5625,683.359375,915.390625,915.390625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.30041292043461,1831.5625,683.359375,898.515625,898.515625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.3203994046343723,1790.46875,680.625,878.515625,878.515625,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.3403778898355085,1790.46875,680.625,871.171875,871.171875,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.3604153676133137,1790.46875,680.625,874.296875,874.296875,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.3803468587429961,1790.46875,680.625,886.953125,886.953125,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.4015371913992567,1790.46875,680.625,870.078125,870.078125,14263716,3.4001668294270826,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.4204218142986065,1733.515625,664.765625,832.1875,832.1875,14263716,3.4535725911458326,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.4405022866558284,1733.515625,664.765625,838.515625,838.515625,14263716,3.4535725911458326,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
1.4615906321560033,1733.515625,664.765625,843.75,843.75,14263716,3.4535725911458326,0.0,15,0,32,32,40,0.0,b'TRUE',b'FALSE',b'FALSE',b'FALSE'
