timestamps,FuSHp_pCtlBnk1,Veh_bSailEna
0.0,-0.152,b'TRUE'
0.11503252026159316,-1.468,b'TRUE'
0.1836218865646515,-1.5,b'TRUE'
0.23051098438736517,-2.602,b'TRUE'
0.26894914597505704,-3.688,b'TRUE'
0.3030108584498521,-2.95,b'TRUE'
0.33449889489565976,-1.702,b'TRUE'
0.3635192419460509,-1.068,b'TRUE'
0.39047984828357585,-0.908,b'TRUE'
0.41636558990285266,-0.8180000000000001,b'TRUE'
0.44061753718415275,-0.596,b'TRUE'
0.46443753883067984,-0.438,b'TRUE'
0.48698170109128114,-0.326,b'TRUE'
0.5090789195965044,-0.276,b'TRUE'
0.5306652024155483,-0.244,b'TRUE'
0.5518555350863608,-0.228,b'TRUE'
0.5725649282831,-0.222,b'TRUE'
0.5930073550844099,-0.222,b'TRUE'
0.6134107867983403,-0.20600000000000002,b'TRUE'
0.6334052699967287,-0.2,b'TRUE'
0.6528948167397175,-0.202,b'TRUE'
0.6725393439846812,-0.20400000000000001,b'TRUE'
0.6922768595250091,-0.20400000000000001,b'TRUE'
0.7116094260272803,-0.2,b'TRUE'
0.7308969981968403,-0.2,b'TRUE'
0.7503925441997126,-0.2,b'TRUE'
0.7694881405332126,-0.2,b'TRUE'
0.7887837117013987,-0.198,b'TRUE'
0.808013291170937,-0.198,b'TRUE'
0.8273988510190975,-0.202,b'TRUE'
0.8465874356479617,-0.202,b'TRUE'
0.8660429866722552,-0.198,b'TRUE'
0.88548853895918,-0.196,b'TRUE'
0.9052800477074925,-0.198,b'TRUE'
0.9247745938191656,-0.198,b'TRUE'
0.9446180960221682,-0.194,b'TRUE'
0.9644615982106188,-0.19,b'TRUE'
0.9845060751104029,-0.192,b'TRUE'
1.0047405280929524,-0.192,b'TRUE'
1.0253789302369114,-0.19,b'TRUE'
1.0456633769208565,-0.188,b'TRUE'
1.0664567595522385,-0.192,b'TRUE'
1.087403122917749,-0.194,b'TRUE'
1.1085034669085871,-0.19,b'TRUE'
1.1293988367106067,-0.188,b'TRUE'
1.1503402007074328,-0.19,b'TRUE'
1.1709326086274814,-0.192,b'TRUE'
1.1916450014541624,-0.19,b'TRUE'
1.2123463956668274,-0.186,b'TRUE'
1.2325348544400185,-0.188,b'TRUE'
1.252669320005225,-0.188,b'TRUE'
1.2725608161563287,-0.188,b'TRUE'
1.2922553371172398,-0.194,b'TRUE'
1.311332935714745,-0.2,b'TRUE'
1.3299235956073971,-0.194,b'TRUE'
1.3482602874719305,-0.18,b'TRUE'
1.3653941307566129,-0.136,b'TRUE'
1.3823170005780412,-0.08,b'TRUE'
1.3983809785277117,-0.074,b'TRUE'
1.4143089735880494,-0.112,b'TRUE'
1.42932808304613,-0.154,b'TRUE'
1.4442002110154135,-0.178,b'TRUE'
1.4583084351470461,-0.19,b'TRUE'
1.4723266705987044,-0.20400000000000001,b'TRUE'
1.4857369825767819,-0.214,b'TRUE'
1.499252281326335,-0.228,b'TRUE'
1.5122096503182547,-0.244,b'TRUE'
1.5248120639880653,-0.252,b'TRUE'
1.5373154901171802,-0.256,b'TRUE'
1.549674934372888,-0.258,b'TRUE'
1.5618793981266208,-0.258,b'TRUE'
1.5741838493122486,-0.256,b'TRUE'
1.5858853763784282,-0.244,b'TRUE'
1.5976898904773407,-0.23800000000000002,b'TRUE'
1.6093884179281304,-0.23600000000000002,b'TRUE'
1.6211979313957272,-0.23800000000000002,b'TRUE'
1.6324525147210807,-0.232,b'TRUE'
1.6438570791797247,-0.232,b'TRUE'
1.6553096375864698,-0.232,b'TRUE'
1.6665182267024647,-0.228,b'TRUE'
1.677664823611849,-0.224,b'TRUE'
1.6888094207824906,-0.222,b'TRUE'
1.699909023620421,-0.218,b'TRUE'
1.7111636069457745,-0.22,b'TRUE'
1.7218672596209217,-0.222,b'TRUE'
1.7328158814634662,-0.224,b'TRUE'
