timestamps,FuSHp_pCtlBnk1,Veh_bSailEna
0.0,0.23800000000000002,b'TRUE'
0.1102794025316598,0.076,b'TRUE'
0.173981281001943,0.096,b'TRUE'
0.22560731991870853,0.126,b'TRUE'
0.26754928944069434,-0.024,b'TRUE'
0.30345083942620477,-0.002,b'TRUE'
0.3360407076527281,0.04,b'TRUE'
0.3670697258717155,0.126,b'TRUE'
0.3960079450091598,0.116,b'TRUE'
0.42384726974660225,0.11,b'TRUE'
0.4499527610992118,-0.016,b'TRUE'
0.47511634296643024,-0.166,b'TRUE'
0.4995659934395462,-0.10400000000000001,b'TRUE'
0.5233797050245812,-0.014,b'TRUE'
0.546524480891776,0.016,b'TRUE'
0.5692252994217597,0.018000000000000002,b'TRUE'
0.5915141575399048,0.008,b'TRUE'
0.6135710379501234,0.0,b'TRUE'
0.6351609632331474,-0.004,b'TRUE'
0.6568008837118668,-0.01,b'TRUE'
0.6779368526183589,-0.018000000000000002,b'TRUE'
0.6989228359382196,-0.018000000000000002,b'TRUE'
0.7199178183932418,-0.024,b'TRUE'
0.7403558543687723,-0.026000000000000002,b'TRUE'
0.7610448662264844,-0.024,b'TRUE'
0.7818298688596315,-0.02,b'TRUE'
0.8020609247255379,-0.024,b'TRUE'
0.8225449562810354,-0.018000000000000002,b'TRUE'
0.8430309876443971,0.0,b'TRUE'
0.8638229896050689,-0.016,b'TRUE'
0.8842580258688031,-0.032,b'TRUE'
0.9051930140890363,-0.044,b'TRUE'
0.9264819682944108,-0.026000000000000002,b'TRUE'
0.947818917887389,-0.036000000000000004,b'TRUE'
0.968913890733802,-0.05,b'TRUE'
0.9902538400385765,-0.042,b'TRUE'
1.0119047594603217,-0.02,b'TRUE'
1.0338636492870137,-0.024,b'TRUE'
1.055854536039078,-0.028,b'TRUE'
1.0778934181787463,-0.036000000000000004,b'TRUE'
1.0999822955143372,-0.04,b'TRUE'
1.1223261483476108,-0.03,b'TRUE'
1.144871551504366,-0.034,b'TRUE'
1.1671175029325696,-0.04,b'TRUE'
1.1898604309353686,-0.038,b'TRUE'
1.2128623467308444,-0.04,b'TRUE'
1.235869262290862,-0.042,b'TRUE'
1.259013171393235,-0.044,b'TRUE'
1.2824650659788404,-0.044,b'TRUE'
1.3061179510905276,-0.042,b'TRUE'
1.3298668316774638,-0.042,b'TRUE'
1.3538717001983969,-0.05,b'TRUE'
1.3782225524112164,-0.046,b'TRUE'
1.4028823900598582,-0.048,b'TRUE'
1.4274382326104842,-0.044,b'TRUE'
1.4521880660170154,-0.05,b'TRUE'
1.4770488941917392,-0.048,b'TRUE'
1.5021497110549262,-0.044,b'TRUE'
1.5273675224032104,-0.062,b'TRUE'
1.552929317537746,-0.058,b'TRUE'
1.578835096458306,-0.034,b'TRUE'
