timestamps,Air_pMeanTolSensBnk1,Air_pMeanVldSig,Air_tInBnk1,Air_TInMnfBnk1,Eng_AddLamAdpn_Bnk1,Eng_facAdpnPurgeTnk,Eng_FacLamAdpn_Bnk1,Eng_FacLamAdpn_Fu2Bnk1,Eng_tCo,Eng_tCoRaw,Eng_tCoStopFirst,Eng_tCoStrtFirst,Eng_tCoStrtFirstRaw,Eng_tiAftFirstStrt,Eng_tiAftStrt,Eng_tOilSwmpRaw,Exh_facAftCatAdpnBnk1,Exh_facOscCatBnk1,Exh_mOxiCat1Bnk1,Exh_resElmtSens2Bnk1,FuSLp_pSp,Veh_bMil,Veh_facAlti,Veh_pEnv,Veh_pEnvRaw,Veh_tEnv,Veh_tiDiagRefEngOff,Veh_tiDifDiagEngOff,Air_bSensVld_pEnv,Eng_bIdl,Eng_bLamAdpnAdd_Bnk1,Eng_bLamAdpnAddFinCyc_Bnk1,Eng_bLamAdpnFac_Bnk1,Eng_bLamAdpnFac_Fu2Bnk1,Eng_bLamAdpnFacFinCyc_Bnk1,Eng_bLamAdpnFailSusp,Eng_bLamAdpnStabAdd_Bnk1,Eng_bLamAdpnStabFac_Fu2Bnk1,Exh_bSens1RdyBnk1,FuSHp_bDiagPinPntEna,FuSHp_bDiagVlvStuckClsEna,FuSHp_bDiagVlvStuckOpEna
0.0,0.0,0.0,-48.0,-273.24,0.0,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.16000000000003,76.96000000000004,73.16000000000003,73.16000000000003,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.9471435546875,959.453125,960.7421875,-2.25,69,0,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.09979840971868725,0.0,0.0,-48.0,-273.24,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.16000000000003,76.96000000000004,73.16000000000003,73.16000000000003,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.9471435546875,959.453125,959.4140625,-2.25,69,0,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.19995078542251576,0.0,0.0,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.16000000000003,76.96000000000004,73.16000000000003,73.16000000000003,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.9471435546875,959.453125,959.765625,-2.25,69,0,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.30009816160691116,0.0,0.0,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.16000000000003,76.96000000000004,73.16000000000003,73.16000000000003,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.9471435546875,959.453125,959.4140625,-2.25,69,0,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.39999356200542024,0.0,0.0,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.16000000000003,76.96000000000004,73.16000000000003,73.16000000000003,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.9471435546875,959.4921875,959.609375,-2.25,69,0,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.5000559463569516,0.0,0.0,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.16000000000003,76.96000000000004,73.16000000000003,73.16000000000003,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.9471435546875,959.453125,959.4140625,-2.25,69,0,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.6000013419509287,0.0,0.0,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.16000000000003,76.96000000000004,73.16000000000003,73.16000000000003,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.9471435546875,959.4921875,959.609375,-2.25,69,0,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.7000477278400012,0.0,0.0,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.16000000000003,76.96000000000004,73.16000000000003,73.16000000000003,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.9471435546875,959.4921875,959.609375,-2.25,69,0,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.7999951232418425,0.0,0.0,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.16000000000003,76.96000000000004,73.16000000000003,73.16000000000003,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.9471435546875,959.4921875,959.4140625,-2.25,69,0,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
0.9008944271686232,0.0,0.0,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.16000000000003,76.96000000000004,73.16000000000003,73.16000000000003,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.94708251953125,959.4140625,959.4140625,-2.25,69,213,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
1.0017297372446592,22.5,959.375,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.26000000000005,76.96000000000004,73.16000000000003,73.26000000000005,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,0,0.94708251953125,959.4140625,959.4140625,-2.25,69,213,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
1.101885112660284,22.5,959.375,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.26000000000005,76.96000000000004,73.16000000000003,73.26000000000005,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,1,0.94708251953125,959.4140625,959.4140625,-2.25,69,213,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
1.2019065009515089,22.5,959.375,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.26000000000005,76.96000000000004,73.16000000000003,73.26000000000005,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,1,0.94708251953125,959.4140625,959.4140625,-2.25,69,213,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
1.3019648856877666,22.5,959.375,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.26000000000005,76.96000000000004,73.16000000000003,73.26000000000005,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,1,0.94708251953125,959.4140625,959.609375,-2.25,69,213,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
1.4019072815699474,22.5,959.375,12.0,12.660000000000025,-0.84375,0.333984375,1.017822265625,0.977569580078125,73.16000000000003,73.26000000000005,76.96000000000004,73.16000000000003,73.26000000000005,0.0,0.0,49.460000000000036,0.005279541015625,0.9453125,547.1,0.0,500.0,1,0.94708251953125,959.4140625,959.4140625,-2.25,69,213,b'TRUE',b'TRUE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE',b'FALSE'
