timestamps,FuSHp_pCtlBnk1,Veh_bSailEna
0.0,-0.124,b'TRUE'
0.1070668462489266,1.508,b'TRUE'
0.1879237301327521,1.6360000000000001,b'TRUE'
0.26264962283312343,1.506,b'TRUE'
0.3205485396902077,1.696,b'TRUE'
0.3680054715368897,3.078,b'TRUE'
0.4078894142585341,2.036,b'TRUE'
0.442035365224001,-0.158,b'TRUE'
0.4726233213004889,-0.604,b'TRUE'
0.5005482811975526,-0.354,b'TRUE'
0.526515243909671,-0.244,b'TRUE'
0.5510842086368939,-0.186,b'TRUE'
0.5741891754587414,-0.168,b'TRUE'
0.5962861437292304,-0.168,b'TRUE'
0.6176291130686877,-0.184,b'TRUE'
0.6383270833466668,-0.202,b'TRUE'
0.6584240544907516,-0.21,b'TRUE'
0.6780210263532354,-0.2,b'TRUE'
0.6973589985864237,-0.21,b'TRUE'
0.7163539713073988,-0.224,b'TRUE'
0.7350059445161605,-0.254,b'TRUE'
0.7534439180453774,-0.34400000000000003,b'TRUE'
0.7718738915718859,-0.448,b'TRUE'
0.7899998655484524,-0.454,b'TRUE'
0.8078868398588384,-0.39,b'TRUE'
0.8254718220705399,-0.314,b'TRUE'
0.8432598075160058,-0.27,b'TRUE'
0.8610377929580864,-0.244,b'TRUE'
0.878961778289522,-0.228,b'TRUE'
0.896338764068787,-0.22,b'TRUE'
0.9140687495528255,-0.214,b'TRUE'
0.9319957348925527,-0.21,b'TRUE'
0.9495707205060171,-0.20600000000000002,b'TRUE'
0.967310705978889,-0.202,b'TRUE'
0.9851366913935635,-0.19,b'TRUE'
1.0030756767082494,-0.18,b'TRUE'
1.0210016620403621,-0.176,b'TRUE'
1.0389876473200275,-0.168,b'TRUE'
1.0570186325639952,-0.164,b'TRUE'
1.0752516176435165,-0.156,b'TRUE'
1.093582602639799,-0.16,b'TRUE'
1.1120115875528427,-0.158,b'TRUE'
1.130349572544219,-0.158,b'TRUE'
1.1490275572577957,-0.156,b'TRUE'
1.167518542133621,-0.14400000000000002,b'TRUE'
1.1860025269998005,-0.132,b'TRUE'
1.2044945118686883,-0.128,b'TRUE'
1.223133496605442,-0.132,b'TRUE'
1.2419204812322278,-0.14,b'TRUE'
1.2603004661941668,-0.154,b'TRUE'
1.2790304508671397,-0.162,b'TRUE'
1.2979644353617914,-0.168,b'TRUE'
1.3164474202349083,-0.17200000000000001,b'TRUE'
1.3350934049813077,-0.17200000000000001,b'TRUE'
1.3540283894835738,-0.176,b'TRUE'
1.3729103740333812,-0.178,b'TRUE'
1.3915433587826556,-0.18,b'TRUE'
1.4102793434431078,-0.18,b'TRUE'
1.4291063280397793,-0.18,b'TRUE'
1.448088312507025,-0.178,b'TRUE'
1.4670222970016766,-0.18,b'TRUE'
1.4859562815108802,-0.182,b'TRUE'
1.504638266225811,-0.182,b'TRUE'
1.5236232506867964,-0.182,b'TRUE'
1.5426102351484587,-0.182,b'TRUE'
1.561595219609444,-0.184,b'TRUE'
1.5806342040159507,-0.184,b'TRUE'
1.6000261881563347,-0.182,b'TRUE'
1.6190031726146117,-0.182,b'TRUE'
1.6380881569930352,-0.184,b'TRUE'
1.6572721412958344,-0.184,b'TRUE'
1.676558125516749,-0.182,b'TRUE'
1.695950109642581,-0.182,b'TRUE'
1.7150310940342024,-0.184,b'TRUE'
1.7343690781999612,-0.184,b'TRUE'
1.7540060621249722,-0.182,b'TRUE'
1.7733470462990226,-0.182,b'TRUE'
1.792979030229617,-0.182,b'TRUE'
1.8124240143224597,-0.182,b'TRUE'
1.8321069982048357,-0.182,b'TRUE'
1.8519489819736918,-0.18,b'TRUE'
1.871436966015608,-0.18,b'TRUE'
1.8911689498781925,-0.178,b'TRUE'
1.9110129336331738,-0.176,b'TRUE'
1.9309609173069475,-0.176,b'TRUE'
1.9505539012752706,-0.178,b'TRUE'
1.9704488849820336,-0.178,b'TRUE'
1.9904318686312763,-0.176,b'TRUE'
2.0103788523119874,-0.17400000000000002,b'TRUE'
2.0303628359542927,-0.176,b'TRUE'
2.050455819509807,-0.178,b'TRUE'
2.0709418027399806,-0.17400000000000002,b'TRUE'
2.0909897863311926,-0.148,b'TRUE'
2.110973769973498,-0.078,b'TRUE'
2.1309217536472715,-0.046,b'TRUE'
2.1504737376526464,-0.094,b'TRUE'
2.1700057216658024,-0.156,b'TRUE'
2.188535706503899,-0.18,b'TRUE'
2.207026691365172,-0.23800000000000002,b'TRUE'
2.225155676525901,-0.252,b'TRUE'
2.242993661930086,-0.256,b'TRUE'
2.2601166479144013,-0.246,b'TRUE'
2.2770926340162987,-0.244,b'TRUE'
2.294024620161508,-0.23800000000000002,b'TRUE'
2.3100916070106905,-0.252,b'TRUE'
2.3260605939431116,-0.268,b'TRUE'
2.3419845809112303,-0.264,b'TRUE'
2.3573525683314074,-0.256,b'TRUE'
2.3726215558417607,-0.252,b'TRUE'
2.3876335435488727,-0.25,b'TRUE'
2.402568531324505,-0.244,b'TRUE'
2.417488519116887,-0.242,b'TRUE'
2.4323575069429353,-0.252,b'TRUE'
2.4471744948241394,-0.264,b'TRUE'
2.461988482697052,-0.268,b'TRUE'
2.477006470406195,-0.276,b'TRUE'
2.4915274585218867,-0.28400000000000003,b'TRUE'
2.5062884464423405,-0.296,b'TRUE'
2.5210114343935857,-0.292,b'TRUE'
2.5359804221370723,-0.28400000000000003,b'TRUE'
2.550595410182723,-0.28400000000000003,b'TRUE'
2.565261398180155,-0.28400000000000003,b'TRUE'
2.580020386099932,-0.266,b'TRUE'
2.594992373837158,-0.266,b'TRUE'
2.609563361911569,-0.314,b'TRUE'
2.6242823498760117,-0.354,b'TRUE'
2.638998337832163,-0.342,b'TRUE'
2.653934325600858,-0.304,b'TRUE'
2.668395313768997,-0.28,b'TRUE'
2.6830163018021267,-0.262,b'TRUE'
2.6979802895511966,-0.242,b'TRUE'
2.712856277372339,-0.23,b'TRUE'
2.72757226532849,-0.226,b'TRUE'
2.74244725315657,-0.224,b'TRUE'
2.7575622407894116,-0.21,b'TRUE'
2.7729892281640787,-0.188,b'TRUE'
2.7883122156199533,-0.17200000000000001,b'TRUE'
2.803985202801414,-0.166,b'TRUE'
2.8195511900557904,-0.122,b'TRUE'
2.8353731771057937,-0.084,b'TRUE'
2.851095164238359,-0.1,b'TRUE'
2.8670101512107067,-0.154,b'TRUE'
2.8824271385965403,-0.20400000000000001,b'TRUE'
2.8982411256583873,-0.212,b'TRUE'
2.914017112736474,-0.216,b'TRUE'
2.9296370999509236,-0.22,b'TRUE'
2.9453620870917803,-0.224,b'TRUE'
2.961190074129263,-0.232,b'TRUE'
2.977006061191787,-0.244,b'TRUE'
2.9929850481130416,-0.25,b'TRUE'
3.008901035093004,-0.242,b'TRUE'
3.0249700219283113,-0.246,b'TRUE'
3.0409540088585345,-0.252,b'TRUE'
3.0569719957420602,-0.26,b'TRUE'
3.0729909826332005,-0.256,b'TRUE'
3.089161969401175,-0.244,b'TRUE'
3.105432956086588,-0.246,b'TRUE'
3.1220109425194096,-0.256,b'TRUE'
3.138230929238489,-0.256,b'TRUE'
3.1550079155131243,-0.254,b'TRUE'
3.171482902020216,-0.254,b'TRUE'
3.188100888422923,-0.258,b'TRUE'
3.204992874598247,-0.244,b'TRUE'
3.221965860706405,-0.23600000000000002,b'TRUE'
3.238646847050404,-0.23600000000000002,b'TRUE'
3.2555898331920616,-0.244,b'TRUE'
3.2726128192589385,-0.248,b'TRUE'
3.2899878050375264,-0.25,b'TRUE'
3.307061791056185,-0.256,b'TRUE'
3.32428777696623,-0.264,b'TRUE'
3.3415717628231505,-0.262,b'TRUE'
3.3590557485149475,-0.262,b'TRUE'
3.3764397342747543,-0.266,b'TRUE'
3.3940147199027706,-0.27,b'TRUE'
3.4114987055945676,-0.266,b'TRUE'
3.4291706911317306,-0.27,b'TRUE'
3.4469986765325302,-0.276,b'TRUE'
3.464583662134828,-0.278,b'TRUE'
3.482417647552211,-0.278,b'TRUE'
3.500451632789918,-0.274,b'TRUE'
3.5185846179520013,-0.28400000000000003,b'TRUE'
3.536974602888222,-0.316,b'TRUE'
3.5555635876808083,-0.444,b'TRUE'
3.574595572106773,-0.56,b'TRUE'
3.593981556245126,-0.53,b'TRUE'
3.613366540375864,-0.424,b'TRUE'
3.6330525242665317,-0.332,b'TRUE'
3.653091507861973,-0.276,b'TRUE'
3.6733254912978737,-0.26,b'TRUE'
3.693921474448871,-0.23800000000000002,b'TRUE'
3.714360457714065,-0.196,b'TRUE'
3.7352984405879397,-0.154,b'TRUE'
3.7566364282974973,-0.09,b'TRUE'
3.7783364221686497,-0.006,b'TRUE'
3.8003854159469483,0.052000000000000005,b'TRUE'
3.8230844095378416,0.088,b'TRUE'
3.846095403045183,0.138,b'TRUE'
3.8693523964757333,0.14400000000000002,b'TRUE'
3.8921643900393974,0.026000000000000002,b'TRUE'
3.914958383596968,-0.092,b'TRUE'
3.9371523773297668,-0.184,b'TRUE'
3.9596003710030345,-0.218,b'TRUE'
3.982255364608136,-0.222,b'TRUE'
4.005257358105155,-0.222,b'TRUE'
4.028413351581548,-0.248,b'TRUE'
4.051581345032901,-0.37,b'TRUE'
4.074976338437409,-0.434,b'TRUE'
4.0985303317866055,-0.356,b'TRUE'
4.1221873251051875,-0.292,b'TRUE'
4.1460003183892695,-0.244,b'TRUE'
4.1700153116107685,-0.218,b'TRUE'
4.194933304577717,-0.154,b'TRUE'
4.219950297512696,-0.166,b'TRUE'
4.245429290313041,-0.054,b'TRUE'
4.271645282919053,0.134,b'TRUE'
4.298408275368274,0.292,b'TRUE'
4.324975267867558,0.304,b'TRUE'
4.350992260515341,0.044,b'TRUE'
4.3770002531819046,-0.14200000000000002,b'TRUE'
4.402965245855739,-0.196,b'TRUE'
4.4290792384854285,-0.47400000000000003,b'TRUE'
4.455572231003316,-0.9400000000000001,b'TRUE'
4.4823392234393395,-0.858,b'TRUE'
4.50950421577727,-0.758,b'TRUE'
4.5368302080605645,-0.604,b'TRUE'
4.5640602003841195,-0.36,b'TRUE'
4.591976192503353,-0.24,b'TRUE'
4.620551184430951,-0.224,b'TRUE'
4.649583176229498,-0.226,b'TRUE'
4.679207167879213,-0.20800000000000002,b'TRUE'
4.709337159365532,-0.126,b'TRUE'
4.740079150695237,-0.094,b'TRUE'
4.7710171419603284,0.1,b'TRUE'
4.801105133461533,0.246,b'TRUE'
4.8309981250349665,0.044,b'TRUE'
4.860131116802222,-0.132,b'TRUE'
4.889268108585384,-0.19,b'TRUE'
4.918247100402368,-0.334,b'TRUE'
4.947174092230853,-0.656,b'TRUE'
4.976398083977983,-0.454,b'TRUE'
5.005224075852311,-0.26,b'TRUE'
5.033406067886972,-0.112,b'TRUE'
5.061381059989799,0.024,b'TRUE'
5.0889490522095,-0.04,b'TRUE'
5.115324044774752,-0.11,b'TRUE'
5.141039037509472,-0.148,b'TRUE'
5.1662580303964205,-0.18,b'TRUE'
5.190977023419691,-0.21,b'TRUE'
5.214929016656242,-0.258,b'TRUE'
5.2379820101486985,-0.254,b'TRUE'
5.260997003657394,-0.23800000000000002,b'TRUE'
