timestamps,DiagIf_ctIumprDenom,DiagIf_tiIumprEngOnCum,DiagIf_tiIumprIdl,DiagIf_tiIumprVehSpdCum,Eng_ctMisfAdpPlausAbs,Eng_ctMisfAdpPlausNvm,Eng_ctMisfAdpPlausRel,Eng_ctMisfEmiIntl,Eng_ctMisfTiAdpRst,Exh_facOxiCat1Bnk1,Veh_pEnvLstDcy,Veh_tiEngOffEngSpdCyc,Air_bCAir_bChkCycCmpl_pEnvhk,Veh_bDiagEcuOffFin
42.00139536930715,8,38.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
43.00139845750482,8,39.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
44.001441545786065,8,40.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
45.0014858812101,8,41.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
46.00244181513517,8,42.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
47.00154974733596,8,43.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
48.00137920523912,8,44.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
49.001391388929505,8,45.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
50.001474572633015,8,46.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
51.00139016725075,8,47.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
52.001309007547434,8,48.6,0.0,0.0,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
53.00178384831088,8,49.6,0.0,0.1,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
54.001339903468306,8,50.6,0.0,1.1,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
55.00247410698876,8,51.6,0.0,2.1,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
56.00116030756635,8,52.6,0.0,3.1,0,0,0,0,0,0.0,959.4140625,210,b'TRUE',b'TRUE'
57.00119311396974,8,53.6,0.0,4.1000000000000005,0,0,0,0,0,0.0,959.765625,210,b'TRUE',b'TRUE'
58.00113466356992,8,54.6,0.0,5.1000000000000005,0,0,0,0,0,0.0,959.765625,210,b'TRUE',b'TRUE'
59.00119321323427,8,55.6,0.0,5.1000000000000005,0,0,0,0,0,0.0,959.765625,210,b'TRUE',b'TRUE'
60.001128444049975,8,56.6,0.0,5.1000000000000005,0,0,0,0,0,0.0,959.765625,210,b'TRUE',b'TRUE'
61.00149646382669,8,57.6,0.0,5.1000000000000005,0,0,0,0,0,0.0,959.765625,210,b'TRUE',b'TRUE'
62.0011214835888,8,58.6,0.0,5.1000000000000005,0,0,0,0,0,0.0,960.15625,210,b'TRUE',b'TRUE'
63.00123541470929,8,59.6,0.0,5.1000000000000005,0,0,0,0,0,0.0,959.9609375,210,b'TRUE',b'TRUE'
64.00115728434434,8,60.6,0.0,5.1000000000000005,0,0,0,0,0,0.0,960.15625,210,b'TRUE',b'TRUE'
65.00113015397255,8,61.6,0.0,5.4,0,0,0,0,0,0.0,960.15625,210,b'TRUE',b'TRUE'
66.0010890004969,8,62.6,0.0,6.4,0,0,0,0,0,0.0,960.3515625,210,b'TRUE',b'TRUE'
67.00161682980115,8,63.6,0.0,7.4,0,0,0,0,0,0.0,960.3515625,210,b'TRUE',b'TRUE'
68.00108065928725,8,64.60000000000001,0.0,8.4,0,0,0,0,0,0.0,960.3515625,210,b'TRUE',b'TRUE'
69.00116991142659,8,65.60000000000001,0.0,9.4,0,0,0,0,0,0.0,960.546875,210,b'TRUE',b'TRUE'
70.00106129159713,8,66.60000000000001,0.0,10.4,0,0,0,0,0,0.0,960.546875,210,b'TRUE',b'TRUE'
71.0010146723489,8,67.60000000000001,0.0,11.4,0,0,0,0,0,0.0,960.9375,210,b'TRUE',b'TRUE'
72.00119237173976,8,68.60000000000001,0.0,12.4,0,0,0,0,0,0.0,960.9375,210,b'TRUE',b'TRUE'
73.00109892883529,8,69.60000000000001,0.0,13.4,0,0,0,0,0,0.0,960.9375,210,b'TRUE',b'TRUE'
74.00238049219752,8,70.60000000000001,0.0,14.4,0,0,0,0,0,0.0,960.9375,210,b'TRUE',b'TRUE'
75.00112566688176,8,71.60000000000001,0.0,15.4,0,0,0,0,0,0.0,960.9375,210,b'TRUE',b'TRUE'
76.00146772279777,8,72.60000000000001,0.0,16.400000000000002,0,0,0,0,0,0.0,960.9375,210,b'TRUE',b'TRUE'
77.00101977709028,8,73.60000000000001,0.0,17.400000000000002,0,0,0,0,0,0.0,960.9375,210,b'TRUE',b'TRUE'
78.00094033069217,8,74.60000000000001,0.0,18.400000000000002,0,0,0,0,0,0.0,961.328125,210,b'TRUE',b'TRUE'
79.00095531699708,8,75.60000000000001,0.0,19.400000000000002,0,0,0,0,0,0.0,961.71875,210,b'TRUE',b'TRUE'
80.00109030366093,8,76.60000000000001,0.0,20.400000000000002,0,0,0,0,0,0.0,961.71875,210,b'TRUE',b'TRUE'
81.00085650560186,8,77.60000000000001,0.0,21.400000000000002,0,0,0,0,0,0.0,961.71875,210,b'TRUE',b'TRUE'
82.00091400652855,8,78.60000000000001,0.0,22.400000000000002,0,0,0,0,0,0.0,961.71875,210,b'TRUE',b'TRUE'
83.0009195073776,8,79.60000000000001,0.0,23.400000000000002,0,0,0,0,0,0.0,961.9140625,210,b'TRUE',b'TRUE'
84.00090651715709,8,80.60000000000001,0.0,24.400000000000002,0,0,0,0,0,0.0,961.9140625,210,b'TRUE',b'TRUE'
85.00083208261003,8,81.60000000000001,0.0,25.400000000000002,0,0,0,0,0,0.0,962.109375,210,b'TRUE',b'TRUE'
86.00081164809308,8,82.60000000000001,0.0,26.400000000000002,0,0,0,0,0,0.0,962.3046875,210,b'TRUE',b'TRUE'
87.00082711589903,8,83.60000000000001,0.0,27.400000000000002,0,0,0,0,0,0.0,962.3046875,210,b'TRUE',b'TRUE'
88.00083849403109,8,84.60000000000001,0.0,28.400000000000002,0,0,0,0,0,0.0,962.5,210,b'TRUE',b'TRUE'
89.00081387214959,8,85.60000000000001,0.0,29.400000000000002,0,0,0,0,0,0.0,962.5,210,b'TRUE',b'TRUE'
90.00071001509968,8,86.60000000000001,0.0,30.400000000000002,0,0,0,0,0,0.0,962.5,210,b'TRUE',b'TRUE'
91.00069792500744,8,87.60000000000001,0.0,31.400000000000002,0,0,0,0,0,0.0,962.6953125,210,b'TRUE',b'TRUE'
92.00085983489953,8,88.60000000000001,0.0,32.4,0,0,0,0,0,0.0,962.890625,210,b'TRUE',b'TRUE'
93.00077782296967,8,89.60000000000001,0.0,33.4,0,0,0,0,0,0.0,962.890625,210,b'TRUE',b'TRUE'
94.00137888972222,8,90.60000000000001,0.0,34.4,0,0,0,0,0,0.0,962.890625,210,b'TRUE',b'TRUE'
95.00077395639391,8,91.60000000000001,0.0,35.4,0,0,0,0,0,0.0,962.890625,210,b'TRUE',b'TRUE'
96.0006719843177,8,92.60000000000001,0.0,36.4,0,0,0,0,0,0.0,962.890625,210,b'TRUE',b'TRUE'
97.00072097019165,8,93.60000000000001,0.0,37.4,0,0,0,0,0,0.0,962.890625,210,b'TRUE',b'TRUE'
98.00065495606759,8,94.60000000000001,0.0,38.400000000000006,0,0,0,0,0,0.0,963.28125,210,b'TRUE',b'TRUE'
